Ensembl Gene Record	A778_D0_gene	A820_D0_gene	A870_D0_gene	A899_D0_gene
ENSG00000025770.18	353	355	425	1176
ENSG00000025772.7	1062	831	1431	1222
ENSG00000025796.13	1611	1097	2245	2446
ENSG00000025800.13	1504	1798	1547	3118
ENSG00000026025.15	1653	3265	866	15200
ENSG00000026036.22	182	202	139	280
ENSG00000026103.21	189	53	203	1099
ENSG00000026297.15	1879	546	2409	1183
ENSG00000026508.18	411	797	370	726
ENSG00000026559.13	168	79	36	468
ENSG00000026652.13	628	250	76	321
ENSG00000026751.16	9	3	10	7
ENSG00000026950.16	551	107	534	875
ENSG00000027001.9	316	198	178	323
ENSG00000027075.14	174	184	85	102
ENSG00000027697.14	1246	373	1571	911
ENSG00000027847.13	235	267	309	690
ENSG00000027869.11	36	62	49	71
ENSG00000028116.17	440	244	214	459
ENSG00000028137.18	217	111	174	380
ENSG00000028203.17	1376	764	884	2249
ENSG00000028277.21	72	16	18	39
ENSG00000028310.17	1094	1709	2116	1773
ENSG00000028528.14	1681	3132	1160	3017
ENSG00000028839.9	439	119	289	397
ENSG00000029153.14	324	102	103	162
ENSG00000029363.16	3429	1597	2884	2643
ENSG00000029364.11	949	929	826	1608
ENSG00000029534.20	119	42	15	44
ENSG00000029559.6	17	16	10	12
ENSG00000029639.10	149	115	48	124
ENSG00000029725.16	686	439	526	1305
ENSG00000029993.14	603	2173	1038	2176
ENSG00000030066.13	1165	1518	815	878
ENSG00000030110.12	987	368	416	1256
ENSG00000030419.16	651	580	878	284
ENSG00000030582.17	6170	3463	1911	9149
ENSG00000031003.10	815	1070	609	1344
ENSG00000031081.10	19	9	90	57
ENSG00000031691.6	151	59	62	129
ENSG00000031698.12	1392	1939	3877	3509
ENSG00000031823.14	941	1378	438	707
ENSG00000032219.18	606	441	388	544
ENSG00000032389.12	575	407	534	678
ENSG00000032444.16	2680	2753	801	2439
ENSG00000032742.17	266	63	135	598
ENSG00000033011.12	361	326	317	617
ENSG00000033030.13	874	501	630	1003
ENSG00000033050.8	336	192	472	868
ENSG00000033100.16	1585	244	1195	1897
ENSG00000033122.18	12	2	19	0
ENSG00000033170.16	535	1603	238	791
ENSG00000033178.12	853	416	537	808
ENSG00000033327.12	2074	3413	533	2058
ENSG00000033627.16	836	1146	758	1547
ENSG00000033800.13	608	1845	443	938
ENSG00000033867.16	515	1008	445	274
ENSG00000034053.14	114	365	487	308
ENSG00000034152.18	898	713	793	1521
ENSG00000034239.10	56	364	1	0
ENSG00000034510.5	15662	6544	9567	15658
ENSG00000034533.11	98	113	90	401
ENSG00000034677.12	2468	2939	1411	1813
ENSG00000034693.14	225	131	144	285
ENSG00000034713.7	605	398	857	998
ENSG00000035115.21	1678	1655	1634	1390
ENSG00000035141.7	1614	1855	1334	1486
ENSG00000035403.17	6650	2278	2684	8776
ENSG00000035499.12	83	196	182	531
ENSG00000035664.11	54	859	225	187
ENSG00000035681.8	474	615	336	582
ENSG00000035687.9	1792	1173	1552	1481
ENSG00000035862.12	4080	801	614	3731
ENSG00000035928.15	934	1366	672	951
ENSG00000036054.12	613	545	634	1746
ENSG00000036257.12	1470	1000	1344	1768
ENSG00000036448.9	4	2	0	6
ENSG00000036530.8	12	9	24	62
ENSG00000036549.12	768	893	989	909
ENSG00000036672.15	122	22	122	340
ENSG00000037042.8	227	276	170	426
ENSG00000037241.7	200	284	300	551
ENSG00000037280.15	3	22	45	31
ENSG00000037474.14	1223	2495	2963	2849
ENSG00000037637.10	532	513	499	735
ENSG00000037749.12	361	242	290	347
ENSG00000037757.13	238	3747	536	1184
ENSG00000037897.16	226	254	257	409
ENSG00000037965.5	0	6	5	12
ENSG00000038002.8	121	83	184	129
ENSG00000038210.12	134	206	181	206
ENSG00000038219.12	1300	1071	386	797
ENSG00000038274.16	879	859	1517	1684
ENSG00000038295.7	10	0	1	0
ENSG00000038358.14	835	426	939	1033
ENSG00000038382.19	2800	2766	3893	5400
ENSG00000038427.15	324	207	253	230
ENSG00000038532.15	1263	264	931	1840
ENSG00000038945.14	213	93	192	217
ENSG00000039068.18	5941	2836	4716	5361
ENSG00000039123.15	1055	1368	840	1096
ENSG00000039139.9	126	244	205	70
ENSG00000039319.16	651	560	216	593
ENSG00000039523.19	1328	527	771	967
ENSG00000039537.13	0	37	0	0
ENSG00000039560.13	3275	692	1285	2835
ENSG00000039600.10	1	1	21	6
ENSG00000039650.11	734	466	737	808
ENSG00000039987.6	1	5	1	3
ENSG00000040199.18	268	255	247	375
ENSG00000040275.16	234	244	253	671
ENSG00000040341.17	1203	950	421	784
ENSG00000040487.12	232	376	198	510
ENSG00000040531.14	262	89	144	354
ENSG00000040608.13	114	85	131	366
ENSG00000040633.12	438	619	398	953
ENSG00000040933.15	611	415	623	1168
ENSG00000041353.9	79	109	24	48
ENSG00000041357.15	1386	849	1141	2695
ENSG00000041515.15	10	3	3	34
ENSG00000041802.10	1725	649	1245	3337
ENSG00000041880.14	182	440	199	496
ENSG00000041982.15	435	20	22	725
ENSG00000041988.15	134	163	100	159
ENSG00000042062.11	46	7	6	140
ENSG00000042088.13	320	312	205	327
ENSG00000042286.14	455	289	134	987
ENSG00000042317.16	70	110	42	150
ENSG00000042429.11	225	293	299	188
ENSG00000042445.13	439	497	531	902
ENSG00000042493.15	2755	326	1180	2908
ENSG00000042753.11	686	728	499	703
ENSG00000042781.12	16	22	54	42
ENSG00000042832.11	205	37	30	49
ENSG00000042980.12	1413	6699	62	50
ENSG00000043039.6	408	66	33	245
ENSG00000043093.13	1305	576	959	2319
ENSG00000043143.20	612	979	659	1646
ENSG00000043355.11	2	431	3	0
ENSG00000043462.11	74	34	41	46
ENSG00000043514.16	206	863	465	1034
ENSG00000043591.5	12	0	2	4
ENSG00000044090.8	1994	673	1074	2079
ENSG00000044115.20	6256	16277	4988	8917
ENSG00000044446.11	602	1097	388	863
ENSG00000044459.14	130	212	130	241
ENSG00000044524.10	3	1	1	0
ENSG00000044574.7	16755	6882	13449	35409
ENSG00000046604.12	7337	1734	3686	13278
ENSG00000046647.13	90	163	79	134
ENSG00000046651.14	721	537	602	1586
ENSG00000046653.14	102	120	15	314
ENSG00000046774.9	1	0	0	21
ENSG00000046889.18	133	1959	505	251
ENSG00000047056.15	700	238	454	915
ENSG00000047188.15	523	891	232	933
ENSG00000047230.14	379	488	129	697
ENSG00000047249.17	991	1207	391	824
ENSG00000047315.15	2458	1479	1577	2181
ENSG00000047346.12	524	345	218	459
ENSG00000047365.11	447	356	178	156
ENSG00000047410.13	4183	2491	2379	5148
ENSG00000047457.13	2867	13557	24294	16670
ENSG00000047578.12	842	389	372	925
ENSG00000047579.19	256	239	170	299
ENSG00000047597.6	52	77	43	97
ENSG00000047617.14	26	27	25	144
ENSG00000047621.11	332	431	152	518
ENSG00000047634.14	138	576	157	176
ENSG00000047644.18	576	360	677	608
ENSG00000047648.21	0	47	14	399
ENSG00000047662.4	28	42	16	8
ENSG00000047849.21	2051	4716	2340	4681
ENSG00000047932.13	1071	335	961	821
ENSG00000048028.11	341	1099	419	332
ENSG00000048052.21	1438	256	494	1849
ENSG00000048140.17	1130	920	1241	1883
ENSG00000048162.20	269	578	530	635
ENSG00000048342.15	250	344	53	181
ENSG00000048392.11	1614	723	771	539
ENSG00000048405.9	387	149	254	630
ENSG00000048471.13	362	124	196	461
ENSG00000048540.14	383	19	83	3
ENSG00000048544.5	695	248	599	896
ENSG00000048649.13	1220	1559	915	1037
ENSG00000048707.15	952	3683	1519	1380
ENSG00000048740.18	440	198	70	78
ENSG00000048828.16	2192	4178	4358	3040
ENSG00000048991.16	572	787	749	1250
ENSG00000049089.14	622	140	297	1363
ENSG00000049130.15	23	75	35	30
ENSG00000049167.14	100	96	77	126
ENSG00000049192.14	27	10	0	13
ENSG00000049239.12	1666	2933	1197	2887
ENSG00000049245.12	1225	1073	923	1407
ENSG00000049246.14	518	402	635	684
ENSG00000049247.13	1	8	5	2
ENSG00000049249.8	17	8	8	9
ENSG00000049283.17	581	1332	379	128
ENSG00000049323.15	689	734	987	2069
ENSG00000049449.9	2032	3111	859	3300
ENSG00000049540.16	73	354	44	124
ENSG00000049541.10	296	486	402	468
ENSG00000049618.23	2335	646	722	2194
ENSG00000049656.13	940	2104	3184	3564
ENSG00000049759.17	1049	495	153	1219
ENSG00000049768.14	7	13	4	11
ENSG00000049769.12	61	62	24	594
ENSG00000049860.13	981	1521	308	1819
ENSG00000049883.14	196	466	89	329
ENSG00000050030.14	5	5	5	6
ENSG00000050130.17	753	719	907	879
ENSG00000050165.17	439	101	128	1254
ENSG00000050327.14	501	185	598	944
ENSG00000050344.8	203	61	104	706
ENSG00000050393.11	868	806	783	738
ENSG00000050405.13	840	480	285	788
ENSG00000050426.15	904	1070	967	1957
ENSG00000050438.16	290	147	143	162
ENSG00000050555.17	18	50	10	11
ENSG00000050628.20	11	1	100	5
ENSG00000050730.15	3	2	1	0
ENSG00000050748.17	571	685	533	838
ENSG00000050767.16	206	34	868	2313
ENSG00000050820.16	1034	401	868	1228
ENSG00000051009.10	976	1180	760	1794
ENSG00000051108.14	1092	354	1809	2719
ENSG00000051128.18	447	101	252	583
ENSG00000051180.16	14	70	16	69
ENSG00000051341.13	189	207	71	599
ENSG00000051382.8	501	589	463	2253
ENSG00000051523.10	2975	2774	3589	2499
ENSG00000051596.9	281	962	722	729
ENSG00000051620.10	1830	472	2005	1074
ENSG00000051825.14	523	1007	537	661
ENSG00000052126.14	552	541	217	653
ENSG00000052344.15	3604	1303	1844	2149
ENSG00000052723.11	4003	976	793	980
ENSG00000052749.13	1089	603	962	3697
ENSG00000052795.12	154	81	243	278
ENSG00000052802.12	302	470	657	290
ENSG00000052841.14	2616	2201	1771	2103
ENSG00000052850.6	2	39	0	30
ENSG00000053108.16	10	6	0	58
ENSG00000053254.15	721	564	1000	1051
ENSG00000053328.8	18	0	0	2
ENSG00000053371.12	336	794	590	717
ENSG00000053372.4	519	1263	811	1251
ENSG00000053438.9	657	4	7	3
ENSG00000053501.12	130	788	359	1030
ENSG00000053524.12	36	3	6	58
ENSG00000053702.14	20	60	48	30
ENSG00000053747.16	2031	495	5663	10605
ENSG00000053770.11	685	1048	640	1029
ENSG00000053900.10	530	509	337	628
ENSG00000053918.16	142	736	23	276
ENSG00000054116.11	613	1627	699	2193
ENSG00000054118.14	2316	4149	2287	5266
ENSG00000054148.17	345	937	1264	715
ENSG00000054179.11	48	30	201	79
ENSG00000054219.10	90	328	78	228
ENSG00000054267.21	1509	806	1137	1445
ENSG00000054277.13	659	83	163	173
ENSG00000054282.15	362	258	199	387
ENSG00000054356.13	2	0	5	2
ENSG00000054392.12	195	111	37	254
ENSG00000054523.17	2239	1603	1754	3049
ENSG00000054598.7	147	1002	228	110
ENSG00000054611.13	294	334	256	587
ENSG00000054654.16	1674	1766	1283	3722
ENSG00000054690.13	528	1041	386	637
ENSG00000054793.13	4756	2135	2609	3627
