Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000128708.12	HAT1	691	6.53813982376767
ENSG00000128731.16	HERC2	2528	7.8351837552667485
ENSG00000128739.22	SNRPN	358	5.8805329864007
ENSG00000128789.20	PSMG2	366	5.902633333401366
ENSG00000128791.11	TWSG1	740	6.606650186198215
ENSG00000128805.14	ARHGAP22	91	4.51085950651685
ENSG00000128815.19	WDFY4	19	2.9444389791664403
ENSG00000128829.11	EIF2AK4	711	6.566672429803241
ENSG00000128833.12	MYO5C	2174	7.684324067681155
ENSG00000128849.10	CGNL1	79	4.3694478524670215
ENSG00000128872.9	TMOD2	107	4.672828834461906
ENSG00000128881.16	TTBK2	331	5.802118375377063
ENSG00000128886.11	ELL3	44	3.784189633918261
ENSG00000128891.15	CCDC32	229	5.43372200355424
ENSG00000128908.16	INO80	823	6.71295620067707
ENSG00000128915.11	ICE2	865	6.762729506931879
ENSG00000128917.7	DLL4	18	2.8903717578961645
ENSG00000128918.14	ALDH1A2	26	3.258096538021482
ENSG00000128923.10	MINDY2	818	6.706862336602747
ENSG00000128928.8	IVD	1769	7.478169694159785
ENSG00000128944.13	KNSTRN	233	5.4510384535657
ENSG00000128951.13	DUT	1624	7.392647520721623
ENSG00000128965.12	CHAC1	67	4.204692619390966
ENSG00000128973.12	CLN6	1517	7.324489979348532
ENSG00000128989.10	ARPP19	2190	7.691656822810547
ENSG00000129003.17	VPS13C	2127	7.6624678152002375
ENSG00000129007.14	CALML4	47	3.8501476017100584
ENSG00000129028.8	THAP10	74	4.30406509320417
ENSG00000129038.15	LOXL1	57	4.04305126783455
ENSG00000129055.12	ANAPC13	304	5.717027701406222
ENSG00000129071.9	MBD4	410	6.016157159698354
ENSG00000129083.12	COPB1	2228	7.708859601047175
ENSG00000129084.17	PSMA1	1129	7.029087564149662
ENSG00000129103.17	SUMF2	1523	7.328437352895162
ENSG00000129116.18	PALLD	658	6.489204931325317
ENSG00000129128.12	SPCS3	798	6.682108597449809
ENSG00000129151.8	BBOX1	40	3.6888794541139363
ENSG00000129158.10	SERGEF	176	5.170483995038151
ENSG00000129167.9	TPH1	66	4.189654742026425
ENSG00000129173.12	E2F8	162	5.087596335232384
ENSG00000129187.14	DCTD	580	6.363028103540465
ENSG00000129194.7	SOX15	4	1.3862943611198906
ENSG00000129195.15	PIMREG	116	4.7535901911063645
ENSG00000129197.14	RPAIN	673	6.511745329644728
ENSG00000129204.16	USP6	2	0.6931471805599453
ENSG00000129219.13	PLD2	339	5.82600010738045
ENSG00000129226.13	CD68	56	4.02535169073515
ENSG00000129235.10	TXNDC17	547	6.304448802421981
ENSG00000129244.8	ATP1B2	1	0.0
ENSG00000129245.11	FXR2	1001	6.90875477931522
ENSG00000129250.11	KIF1C	1529	7.332369205929062
ENSG00000129255.15	MPDU1	1294	7.165493475060845
ENSG00000129292.20	PHF20L1	1475	7.29641326877392
ENSG00000129295.8	LRRC6	220	5.393627546352362
ENSG00000129315.10	CCNT1	876	6.775366090936392
ENSG00000129317.14	PUS7L	454	6.118097198041348
ENSG00000129347.19	KRI1	2607	7.865955413933502
ENSG00000129351.17	ILF3	20247	9.915761913411517
ENSG00000129353.14	SLC44A2	7478	8.91972065553706
ENSG00000129354.11	AP1M2	3697	8.215276958936633
ENSG00000129355.6	CDKN2D	239	5.476463551931511
ENSG00000129422.14	MTUS1	1206	7.095064377287131
ENSG00000129437.10	KLK14	57	4.04305126783455
ENSG00000129450.8	SIGLEC9	11	2.3978952727983707
ENSG00000129451.11	KLK10	2288	7.7354333524996886
ENSG00000129455.15	KLK8	428	6.059123195581797
ENSG00000129460.15	NGDN	448	6.104793232414985
ENSG00000129465.15	RIPK3	6	1.791759469228055
ENSG00000129467.13	ADCY4	20	2.995732273553991
ENSG00000129472.14	RAB2B	314	5.749392985908253
ENSG00000129473.9	BCL2L2	1218	7.1049654482698426
ENSG00000129474.15	AJUBA	867	6.7650389767805414
ENSG00000129480.12	DTD2	240	5.480638923341991
ENSG00000129484.13	PARP2	478	6.169610732491456
ENSG00000129493.14	HEATR5A	361	5.8888779583328805
ENSG00000129515.18	SNX6	1209	7.097548850614793
ENSG00000129518.8	EAPP	473	6.159095388491933
ENSG00000129521.13	EGLN3	455	6.12029741895095
